model,nsims,tpb,mem,pythontime,cupsodatime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card
tyson,100000,64,0,167.380948067,38.20919,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100000,4,1,184.422863007,56.416077,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100000,8,1,165.394707918,37.723278,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100000,16,1,159.069690943,30.414963,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100000,32,1,170.837675095,42.000668,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100000,64,1,163.376173973,34.854504,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100000,4,2,181.629750013,53.231163,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100000,8,2,164.32052803,36.126301,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100000,16,2,158.205538034,29.877741,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100000,32,2,172.445959806,44.088455,1e-06,1e-06,100,20000,100.0,1,0,K20c
tyson,100000,64,2,162.86006403,34.744087,1e-06,1e-06,100,20000,100.0,1,0,K20c
ras,10,4,0,19.3127269745,18.783037,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,10,8,0,23.1921768188,22.638966,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,10,4,1,15.3911838531,14.839461,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,10,8,1,18.0598289967,17.538919,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,10,4,2,13.6977009773,13.151326,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,10,8,2,16.3956010342,15.860601,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100,4,0,18.9530341625,17.553429,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100,8,0,23.8981070518,22.560261,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100,16,0,31.2368268967,29.935745,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100,32,0,44.7775409222,43.438316,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100,64,0,44.7017581463,43.428406,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100,4,1,15.4223291874,14.037672,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100,8,1,18.8422110081,17.459211,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100,16,1,24.3856680393,23.045767,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100,32,1,33.6742150784,32.371227,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100,64,1,33.7124490738,32.321247,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100,4,2,13.7611658573,12.358747,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100,8,2,17.0427839756,15.648911,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100,16,2,22.5799291134,21.249046,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100,32,2,32.2831439972,30.997759,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100,64,2,32.3300080299,30.940542,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,1000,4,0,45.3683640957,36.260082,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,1000,8,0,33.0136549473,24.080523,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,1000,16,0,42.2072370052,33.220505,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,1000,32,0,60.1177120209,51.082664,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,1000,64,0,60.2078111172,51.147831,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,1000,4,1,37.8349108696,28.933233,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,1000,8,1,27.3794081211,18.683189,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,1000,16,1,34.5804848671,25.653484,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,1000,32,1,47.0680041313,37.908134,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,1000,64,1,46.8050830364,37.950741,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,1000,4,2,34.3306510448,25.593622,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,1000,8,2,25.8939659595,16.937105,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,1000,16,2,32.6042821407,23.701124,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,1000,32,2,45.3538470268,36.28339,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,1000,64,2,45.3066649437,36.290836,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,10000,4,0,389.246626139,305.048523,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,10000,8,0,295.511970997,211.204971,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,10000,16,0,272.889690876,188.386215,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,10000,32,0,338.630012035,254.937836,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,10000,64,0,282.632324934,198.223495,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,10000,4,1,328.208139896,243.937454,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,10000,8,1,247.088447094,163.282349,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,10000,16,1,218.39843297,134.170227,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,10000,32,1,296.38952589,211.882248,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,10000,64,1,313.287301064,229.27002,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,10000,4,2,300.688773155,216.729401,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,10000,8,2,233.002129078,148.983475,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,10000,16,2,210.923887014,127.099434,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,10000,32,2,288.653839111,204.253448,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,10000,64,2,302.947241068,219.200104,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100000,4,0,3778.29116797,2941.049561,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100000,8,0,2777.05087399,1939.664307,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100000,16,0,2476.84879112,1640.031982,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100000,32,0,3370.302562,2534.860107,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100000,64,0,2816.1724329,1979.122314,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100000,4,1,3188.7894311,2347.753418,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100000,8,1,2332.6493969,1493.80249,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100000,16,1,2039.1184299,1211.790283,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100000,32,1,2549.0649879,1715.307983,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100000,64,1,3137.99098992,2304.934326,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100000,4,2,2912.62205815,2077.988281,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100000,8,2,2205.92761397,1368.548218,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100000,16,2,1993.308604,1157.47644,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100000,32,2,2481.08737993,1643.875,1e-06,1e-06,100,20000,1500.0,1,0,K20c
ras,100000,64,2,3050.27617621,2214.996582,1e-06,1e-06,100,20000,1500.0,1,0,K20c
earm,10,4,0,23.6881520748,22.732723,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,10,8,0,28.5223557949,27.525604,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,10,4,1,18.4845170975,17.491621,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,10,8,1,21.7039730549,20.72508,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,10,4,2,16.4617371559,15.481565,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,10,8,2,19.6274900436,18.596392,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,100,4,0,25.675809145,21.620441,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,100,8,0,31.9411480427,27.779547,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,100,16,0,40.8930130005,36.759918,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,100,32,0,57.679610014,53.480457,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,100,4,1,21.0593001842,16.935678,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,100,8,1,24.9259901047,20.837126,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,100,16,1,31.4734032154,27.438301,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,100,32,1,42.4966981411,38.424171,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,100,4,2,19.0058031082,14.85573,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,100,8,2,22.8099799156,18.691019,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,100,16,2,29.3101789951,25.199038,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,100,32,2,40.6879091263,36.556713,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,1000,4,0,78.8057100773,45.239452,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,1000,8,0,64.118844986,30.387707,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,1000,16,0,75.1297590733,41.360359,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,1000,32,0,97.1670861244,63.614391,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,1000,4,1,68.4946630001,34.895424,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,1000,8,1,73.9049627781,40.312893,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,1000,16,1,89.1918098927,55.520451,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,1000,32,1,110.768221855,77.017006,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,1000,4,2,64.7612800598,30.763226,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,1000,8,2,69.7702801228,36.15184,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,1000,16,2,84.3761429787,50.876419,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,1000,32,2,107.351439953,73.386574,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,10000,4,0,710.94716692,381.70105,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,10000,8,0,597.084031105,269.514771,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,10000,16,0,568.152320147,242.111404,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,10000,32,0,644.720899105,318.813446,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,10000,4,1,625.560693979,295.081207,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,10000,8,1,565.879524946,235.56459,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,10000,16,1,668.673539162,339.674255,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,10000,32,1,798.13559413,471.224335,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,10000,4,2,588.146997929,260.284302,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,10000,8,2,540.938513041,212.080002,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,10000,16,2,638.844599009,311.516449,1e-06,1e-06,100,20000,20000.0,1,0,K20c
earm,10000,32,2,780.686955929,447.575073,1e-06,1e-06,100,20000,20000.0,1,0,K20c
