model,nsims,tpb,mem,cupsodatime,pythontime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card,
tyson,100000,4,1,56.368023,158.0802991,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,8,1,37.544949,139.107563,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,16,1,30.278461,135.7460408,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,32,1,42.009758,141.577455,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,64,1,34.605869,139.987103,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,128,1,34.377579,134.187716,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,256,1,33.771362,135.592567,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10,1,2,0.260446,0.571278811,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10,2,2,0.279248,0.579977989,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10,4,2,0.337839,0.63972497,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10,8,2,0.428863,0.72480011,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100,1,2,0.256659,0.684398174,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100,2,2,0.275997,0.698307991,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100,4,2,0.31887,0.746919155,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100,8,2,0.414843,0.844244957,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100,16,2,0.557733,1.000919819,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100,32,2,0.836802,1.260066986,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,1,2,1.749155,3.026200056,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,2,2,1.078457,2.360454798,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,4,2,0.649217,1.909111977,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,8,2,0.44613,1.714577198,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,16,2,0.630725,2.081244946,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,32,2,1.008313,2.457598925,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,64,2,1.008053,2.449055195,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,128,2,0.904624,2.332484961,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,1000,256,2,1.27867,2.568575859,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,1,2,16.23637,26.89593816,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,2,2,8.888303,20.729491,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,4,2,5.484824,17.07050514,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,8,2,3.896513,14.75432611,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,16,2,3.44548,13.63837385,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,32,2,5.127254,15.6268301,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,64,2,3.432507,13.66399598,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,128,2,3.402812,13.48295403,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,10000,256,2,3.413248,13.67913389,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,1,2,161.530563,262.9932871,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,2,2,87.944588,187.363019,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,4,2,52.659946,152.8933918,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,8,2,35.663906,135.1262312,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,16,2,29.665579,134.07356,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,32,2,43.889648,142.8083811,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,64,2,34.367512,134.3092911,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,128,2,34.148785,134.085712,0.000001,0.000001,20000,100,100,1,0,K20c,
tyson,100000,256,2,33.588425,134.742764,0.000001,0.000001,20000,100,100,1,0,K20c,
ras,10,1,0,15.340688,15.67502499,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10,2,0,15.452741,15.83272195,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10,4,0,18.829849,19.13907719,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10,8,0,22.673864,22.97059202,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100,1,0,15.245642,15.90230489,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100,2,0,15.509351,16.1255722,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100,4,0,17.687742,18.31177807,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100,8,0,22.434931,23.10670185,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100,16,0,29.697866,30.34050608,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100,32,0,42.793896,43.41771603,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100,64,0,42.766571,43.39682102,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,1000,1,0,104.057816,108.04301,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,1000,2,0,60.986835,65.49789,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,1000,4,0,36.826313,42.30959606,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,1000,8,0,24.254374,28.24387002,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,1000,16,0,33.491245,37.41139293,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,1000,32,0,51.16407,55.02205706,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,1000,64,0,51.200695,55.05031013,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10000,1,0,965.287415,1007.82439,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10000,2,0,505.453613,546.7736771,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10000,4,0,309.188019,348.6481428,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10000,8,0,212.813843,249.7030621,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10000,16,0,189.559723,228.9659028,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10000,32,0,255.824921,292.1723671,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10000,64,0,198.627411,234.9417799,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100000,1,0,9542.741211,9901.058385,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100000,2,0,4990.184082,5458.553326,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100000,4,0,2976.665283,3452.758084,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100000,8,0,1956.721069,2383.290527,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100000,16,0,1650.185791,2083.016155,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100000,32,0,2532.565918,3007.431972,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,100000,64,0,1983.182129,2354.467953,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10,1,1,12.717818,13.06259108,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10,2,1,12.823622,13.11628294,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10,4,1,14.968845,15.27174115,0.000001,0.000001,20000,1500,100,1,0,K20c,
ras,10,8,1,17.715279,18.01405001,0.000001,0.000001,20000,1500,100,1,0,K20c,
