model,nSims,tpb,mem,endTimeOfSim,rtol,atol,pysbTime,cupSODATime
tyson,1000,2,0,100.0,1e-06,1e-06,2.60203886032,1.29547
tyson,1000,4,0,100.0,1e-06,1e-06,2.0661509037,0.769583
tyson,1000,8,0,100.0,1e-06,1e-06,1.8596971035,0.521819
tyson,1000,16,0,100.0,1e-06,1e-06,2.06438493729,0.722174
tyson,1000,32,0,100.0,1e-06,1e-06,2.4150390625,1.117098
tyson,1000,64,0,100.0,1e-06,1e-06,2.42889881134,1.117059
tyson,1000,1,1,100.0,1e-06,1e-06,3.29449915886,1.974801
tyson,1000,2,1,100.0,1e-06,1e-06,2.4822871685,1.164092
tyson,1000,4,1,100.0,1e-06,1e-06,2.02659416199,0.694719
tyson,1000,8,1,100.0,1e-06,1e-06,1.80376911163,0.469493
tyson,1000,16,1,100.0,1e-06,1e-06,1.96822500229,0.653827
tyson,1000,32,1,100.0,1e-06,1e-06,2.35361194611,1.02672
tyson,1000,64,1,100.0,1e-06,1e-06,2.34118485451,1.026305
tyson,1000,1,2,100.0,1e-06,1e-06,3.06240701675,1.749543
tyson,1000,2,2,100.0,1e-06,1e-06,2.3855471611,1.077593
tyson,1000,4,2,100.0,1e-06,1e-06,1.95311403275,0.649081
tyson,1000,8,2,100.0,1e-06,1e-06,1.75148797035,0.446422
tyson,1000,16,2,100.0,1e-06,1e-06,1.93867182732,0.630483
tyson,1000,32,2,100.0,1e-06,1e-06,2.31746792793,1.007742
tyson,1000,64,2,100.0,1e-06,1e-06,2.33160185814,1.007341
tyson,10000,1,0,100.0,1e-06,1e-06,30.9562511444,20.425289
tyson,10000,2,0,100.0,1e-06,1e-06,21.1953520775,10.733169
tyson,10000,4,0,100.0,1e-06,1e-06,17.0273630619,6.479623
tyson,10000,8,0,100.0,1e-06,1e-06,15.0540809631,4.558184
tyson,10000,16,0,100.0,1e-06,1e-06,14.3690500259,3.848639
tyson,10000,32,0,100.0,1e-06,1e-06,16.1080241203,5.556625
tyson,10000,64,0,100.0,1e-06,1e-06,14.2894380093,3.82001
