model,nsims,tpb,mem,pythontime,cupsodatime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card
model,nsims,tpb,mem,pythontime,cupsodatime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card
ras,10,1,0,10.5844240189,10.211308,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,10,2,0,10.6315500736,10.275315,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,10,4,0,10.8130869865,10.462238,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,10,8,0,11.113214016,10.763849,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,10,1,1,8.74335408211,8.392514,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,10,2,1,8.7934319973,8.441954,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,10,4,1,8.93647885323,8.575209,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,10,8,1,9.12185502052,8.771252,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,10,1,2,7.69885206223,7.35202,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,10,2,2,7.76953697205,7.418914,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,10,4,2,7.86980700493,7.514359,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,10,8,2,8.06074404716,7.709026,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,100,1,0,11.7144520283,10.421421,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,100,2,0,11.6644201279,10.378992,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,100,4,0,11.8057079315,10.525873,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,100,8,0,12.1428079605,10.855226,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,100,16,0,12.7459027767,11.464866,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,100,32,0,13.9476630688,12.659152,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,100,64,0,14.4666018486,13.184815,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,100,1,1,10.9961280823,8.538276,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,100,2,1,9.75950503349,8.473574,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,100,4,1,9.89487791061,8.611956,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,100,8,1,10.08360219,8.786414,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,100,16,1,10.5217671394,9.238612,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,100,32,1,11.4470069408,10.158982,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
ras,100,64,1,11.687748909,10.406584,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-ti-diablo
