model,nsims,tpb,mem,pythontime,cupsodatime,rtol,atol,mxsteps,t_end,n_steps,deterministic,vol,card
ras,10,8,0,10.3205959797,10.10529,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10,1,1,8.10263586044,7.886835,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10,2,1,8.1259021759,7.909593,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10,4,1,8.2798230648,8.063665,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10,8,1,8.49661016464,8.281061,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10,1,2,1.62635993958,1.408776,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10,2,2,1.63760995865,1.420493,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10,4,2,1.67604899406,1.458875,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10,8,2,1.74948096275,1.531988,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,1,0,10.509196043,9.679584,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,2,0,10.4308800697,9.599798,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,4,0,10.5539960861,9.724473,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,8,0,10.8722848892,10.042718,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,16,0,11.5337710381,10.70368,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,32,0,12.823745966,11.996842,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,64,0,13.3011779785,12.471259,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,1,1,8.96820092201,8.140623,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,2,1,8.81332612038,7.983088,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,4,1,8.93033194542,8.093983,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,8,1,9.07450819016,8.246231,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,16,1,9.48600888252,8.658286,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,32,1,10.3553290367,9.527268,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,64,1,10.6842830181,9.858226,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,1,2,2.2887840271,1.443398,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,2,2,2.27080512047,1.425947,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,4,2,2.29972195625,1.45239,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,8,2,2.36678099632,1.5211,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,16,2,2.49273204803,1.646598,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,32,2,2.75397491455,1.905463,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100,64,2,2.88520002365,2.040443,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,1,0,103.336601973,96.382828,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,2,0,56.9141821861,49.987617,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,4,0,38.2070748806,31.284504,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,8,0,29.5813119411,22.652277,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,16,0,20.4059019089,13.486132,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,32,0,21.3264019489,14.334775,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,64,0,22.2818229198,15.35012,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,1,1,87.7187831402,80.787888,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,2,1,48.3559849262,41.437157,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,4,1,32.9397170544,25.986456,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,8,1,25.5816378593,18.62899,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,16,1,17.8999011517,10.974561,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,32,1,18.4829239845,11.545043,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,64,1,19.2171320915,12.301548,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,1,2,21.5475599766,14.430506,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,2,2,14.7318649292,7.582761,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,4,2,12.2860558033,5.187384,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,8,2,10.9987888336,3.896026,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,16,2,9.66072201729,2.562588,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,32,2,9.77138495445,2.659539,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,1000,64,2,10.0092201233,2.887752,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,1,0,1002.10458207,934.097107,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,2,0,554.438860893,486.39859,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,4,0,329.700125933,261.830231,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,8,0,221.800292015,153.195847,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,16,0,174.047410011,106.180618,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,32,0,169.784947157,101.829117,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,64,0,171.649194956,103.387329,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,1,1,852.811470985,784.643494,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,2,1,469.438470125,401.429993,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,4,1,284.427048922,216.359344,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,8,1,193.786221981,125.829712,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,16,1,154.451001883,86.463203,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,32,1,149.244462967,81.211441,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,64,1,151.039517879,82.884789,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,1,2,209.527642965,139.806046,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,2,2,145.124536991,74.86274,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,4,2,115.842272043,46.002098,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,8,2,98.4284520149,28.916399,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,16,2,92.4137051105,23.01532,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,32,2,92.1641869545,22.460684,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,10000,64,2,91.8444049358,22.337906,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100000,1,0,585.590893984,0.0,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100000,2,0,585.938049078,0.0,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100000,4,0,589.564810038,0.0,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100000,8,0,588.892712831,0.0,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100000,16,0,592.482455015,0.0,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100000,32,0,587.108990908,0.0,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100000,64,0,586.963338137,0.0,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100000,1,1,587.060603142,0.0,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100000,2,1,590.581601143,0.0,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100000,4,1,586.961862803,0.0,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100000,8,1,588.450031042,0.0,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100000,16,1,587.037639856,0.0,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
ras,100000,32,1,586.198029041,0.0,1e-06,1e-06,100,20000,1500.0,1,0,gtx980-mule
